PBP_ID,Inventory,Institution,institution_city,institution_country,library_localisation,country_certainty,country,region,city,library_dating,circa,century,min_date,max_date,scribe,script,workshop/illuminator,mss_height,mss_width,combined_size,Ruzzier_group,justification_height,justification_width,volumes,v1_folios,v2_folios,v3_folios,columns,min_lines,max_lines,citation,digitisation,Downloadable,Catalogue link,IIIF manifest,Comments,team_member,,,,,,,,,,,,,,,,,,
1,MsWettF 11,Aarau Aargau Cantonal Library,Aarau,Switzerland,aire germanophone,N,Germany,Unknown,Unkown,Third quarter of the 13th century,,13,1251,1275,,,,315,225,540,2,Unknown,Unknown,1,417,,,2,46,47,,F,,https://www.e-codices.unifr.ch/fr/kba/WettF0011/,https://www.e-codices.unifr.ch/fr/description/kba/WettF0011/,,DJW,,,,,,,,,,,,,,,,,,
2,MsWettF 1,Aarau Aargau Cantonal Library,Aarau,Switzerland,Zurich?,N,Switzerland,Unknown,Zurich,1260-1280,,13,1260,1280,,,,400,300,700,3,Unknown,Unknown,1,334,,,2,Unknown,Unknown,,F,,https://www.e-codices.ch/en/list/one/kba/WettF0001,,,DJW,,,,,,,,,,,,,,,,,,
3,MsWettF 2,Aarau Aargau Cantonal Library,Aarau,Switzerland,Zurich?,N,Switzerland,Unknown,Zurich,1260-1280,,13,1260,1280,,,,400,300,700,3,Unknown,Unknown,2,276,,,2,Unknown,Unknown,,F,,https://www.e-codices.ch/en/list/one/kba/WettF0002,,,DJW,,,,,,,,,,,,,,,,,,
4,Ms. L 84,Fribourg Bibliotheque cantonale et universitaire,Fribourg,Switzerland,Bern?,N,Switzerland,Unknown,Bern,first half 13,,13,1201,1250,,,,350,260,610,3,Unknown,Unknown,1,132,,,2,Unknown,Unknown,,F,,https://www.e-codices.ch/en/list/one/bcuf/L0084,,,DJW,,,,,,,,,,,,,,,,,,
5,VadSlg ms 332,St Gallen Kantonsbibliothek,St Gallen,Switzerland,N France?,N,France,Northern France,Unknown,Third quarter of the 13th century,,13,1251,1275,,,,215,150,365,1,Unknown,Unknown,1,453,,,2,Unknown,Unknown,,F,,https://www.e-codices.unifr.ch/en/list/one/vad/0332,https://www.e-codices.unifr.ch/metadata/iiif/vad-0332/manifest.json,,DJW,,,,,,,,,,,,,,,,,,
6,Min. 6,Schaffhausen Stadtbibliothek Ministerialbibliothek Min. 6,Schaffhausen,Switzerland,SW Germany,Y,Germany,South West Germany,Unknown,first quarter 14th c,,14,1301,1325,,,,340,255,595,3,Unknown,Unknown,1,399,,,2,Unknown,Unknown,,F,,https://www.e-codices.ch/en/sbs/min0006,,,DJW,,,,,,,,,,,,,,,,,,
7,U964,Bibliotheque cantonale et universitaire,Lausanne,Switzerland,Franco-Flemish region,N,France or Belgium,Unknown,Unknown,end 13,,13,1276,1300,,,,330,245,575,3,Unknown,Unknown,1,522,,,2,Unknown,Unknown,,F,Y,https://www.e-codices.ch/en/list/one/bcul/U0964,,,DJW,,,,,,,,,,,,,,,,,,
8,0008 (0005),Angers Bibliotheque municipale,Angers,France,France,Y,France,Unknown,Unknown,13e s. (premier quart ?),,13,1201,1225,,,,222,158,380,2,Unknown,Unknown,1,413,,,2,Unknown,Unknown,,F,,https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/9018/manifest,,,DJW,,,,,,,,,,,,,,,,,,
9,0009 (0006),Angers Bibliotheque municipale,Angers,France,England,Y,England,Unknown,Unknown,13e s. (deuxieme quart),,13,1226,1250,,,,227,155,382,2,Unknown,Unknown,1,270,,,2,Unknown,Unknown,,F,,http://initiale.irht.cnrs.fr/codex/5319,,are these the right genre?,DJW,,,,,,,,,,,,,,,,,,
10,0010 (0007),Angers Bibliotheque municipale,Angers,France,France,Y,France,Unknown,Unknown,13e s. (milieu ?),,13,1241,1260,,,,242,150,392,2,Unknown,Unknown,1,607,,,2,Unknown,Unknown,,F,,http://initiale.irht.cnrs.fr/codex/5320,,are these the right genre?,DJW,,,,,,,,,,,,,,,,,,
