PBP_ID,Inventory,Institution,institution_city,institution_country,library_localisation,country_certainty,country,region,city,library_dating,circa,century,min_date,max_date,scribe,script,mss_height,mss_width,combined_size,Ruzzier_group,justification_height,justification_width,volumes,v1_folios,v2_folios,v3_folios,columns,min_lines,max_lines,citation,digitisation,Downloadable,Link,IIIF manifest
1,MsWettF 11,"Aarau, Aargau Cantonal Library",Aarau,Switzerland,,,,,,Third quarter of the 13th century,,13,,,,,315,225,540,2,,,1,417,,,2,,46-47,,Y,,https://www.e-codices.unifr.ch/fr/kba/WettF0011/,https://www.e-codices.unifr.ch/fr/description/kba/WettF0011/
2,MsWettF 1,"Aarau, Aargau Cantonal Library",Aarau,Switzerland,Zurich?,,Switzerland,,Zurich,1260-1280,,13,1260,1280,,,400,300,700,3,,,1,334,,,,,,,Y,,https://www.e-codices.ch/en/list/one/kba/WettF0001,
3,MsWettF 2,"Aarau, Aargau Cantonal Library",Aarau,Switzerland,Zurich?,,Switzerland,,Zurich,1260-1280,,13,1260,1280,,,400,300,700,3,,,2,276,,,,,,,Y,,https://www.e-codices.ch/en/list/one/kba/WettF0002,
4,Ms. L 84,"Fribourg, Bibliothèque cantonale et universitaire",Fribourg,Switzerland,Bern?,,Switzerland,,Bern,first half 13,,13,1200,1250,,,350,260,610,3,,,1,132,,,,,,,Y,,https://www.e-codices.ch/en/list/one/bcuf/L0084,
5,VadSlg ms 332,"St Gallen, Kantonsbibliothek",St Gallen,Switzerland,N France?,,France,,,Third quarter of the 13th century,,13,1250,1274,,,215,150,365,1,,,1,453,,,,,,,Y,,https://www.e-codices.unifr.ch/en/list/one/vad/0332,https://www.e-codices.unifr.ch/metadata/iiif/vad-0332/manifest.json
6,Min. 6,"Schaffhausen, Stadtbibliothek, Ministerialbibliothek, Min. 6",Schaffhausen,Switzerland,SW Germany,,Germany,,,first quarter 14th c,,14,,,,,340,255,595,3,,,1,399,,,,,,,Y,,https://www.e-codices.ch/en/sbs/min0006,
7,U964,Bibliothèque cantonale et universitaire,Lausanne,Switzerland,Franco-Flemish region,,,,,end 13,,13,,,,,330,245,575,3,,,1,522,,,,,,,Y,Y,https://www.e-codices.ch/en/list/one/bcul/U0964,
8,0008 (0005),"Angers, Bibliothèque municipale",Angers,France,France,Y,France,,,13e s. (premier quart ?),,13,,,,,222,158,380,1,,,1,413,,,2,,,,Y,,https://bvmm.irht.cnrs.fr/mirador/index.php?manifest=https://bvmm.irht.cnrs.fr/iiif/9018/manifest,
9,0009 (0006),"Angers, Bibliothèque municipale",Angers,France,England,Y,,,,13e s. (deuxième quart),,13,,,,,227,155,382,2,,,1,270,,,2,,,,Y,,http://initiale.irht.cnrs.fr/codex/5319,
10,0010 (0007),"Angers, Bibliothèque municipale",Angers,France,France,Y,France,,,13e s. (milieu ?),,13,,,,,242,150,392,2,,,1,607,,,2,,,,Y,,http://initiale.irht.cnrs.fr/codex/5320,
11,0011 (0008),"Angers, Bibliothèque municipale",Angers,France,France du nord (Paris ?),Y,France,Ile-de-France,,13e s. (milieu-troisième quart),,13,,,,,143,91,234,1,,,1,520,,,2,,,,Y,,http://initiale.irht.cnrs.fr/codex/5321,
12,0012 (0009),"Angers, Bibliothèque municipale",Angers,France,France du nord (Paris ?),Y,France,,,vers 1240-1250 ?,,13,1240,1250,,,131,88,219,1,,,1,443,,,2,,,,Y,,http://initiale.irht.cnrs.fr/codex/5322,
13,CLM 10007,Bayerische Staatsbibliothek,Munich,Germany,Northern France,Y,France,,,mid 13,,13,,,,,,,0,,,,,,,,2,,,,Y,,https://daten.digitale-sammlungen.de/0011/bsb00112095/images/index.html?id=00112095&groesser=&fip=weayayztssdaseayaxsewqeayaxdsydeaya&no=3&seite=5,
